65453450 V;NK;43,47
65453450 H;NK;45,05
65453444 V;NK;43,90
65453444 H;NK;51,65
65453088 V;NK;44,47
65453088 H;NK;44,47
65453087 V;NK;44,47
65453087 H;NK;44,47
65453086 V;NK;49,59
65453086 H;NK;50,05
65453085 V;NK;45,47
65453085 H;NK;45,47
65453031 V;NK;81,14
65453031 H;NK;81,14
65393009 V;NK;67,27
65393009 H;NK;70,21
65373069 V;NK;44,28
65373069 H;NK;46,17
65373068 V;NK;43,88
65373068 H;NK;43,88
65373007 V;NK;54,20
65373007 H;NK;54,20
65373001 V;NK;44,42
65373001 H;NK;44,42
65363200 V;NK;46,17
65363200 H;NK;46,17
65363067 V;NK;44,56
65363067 H;NK;44,56
65363065 V;NK;42,72
65363065 H;NK;42,72
65303090 V;NK;60,69
65303090 H;NK;60,69
65263363 V;NK;51,62
65263363 H;NK;51,62
65263360 V;NK;36,40
65263360 H;NK;36,40
65253063 V;NK;43,33
65253063 H;NK;43,33
65223083 V;NK;72,06
65223083 H;NK;72,06
65223025 V;NK;52,20
65223025 H;NK;52,20
65193037 V;NK;40,33
65193037 H;NK;40,33
65193036 V;NK;40,33
65193036 H;NK;40,33
65153046 V;NK;63,98
65153046 H;NK;63,98
65153045 V;NK;71,65
65153045 H;NK;71,65
65153044 V;NK;67,68
65153044 H;NK;67,68
65153043 V;NK;79,80
65153043 H;NK;79,80
65153042 V;NK;80,87
65153042 H;NK;80,87
65153041 V;NK;70,78
65153041 H;NK;70,78
65153040 V;NK;82,06
65153040 H;NK;82,06
65153039 V;NK;36,80
65153039 H;NK;36,80
65153038 V;NK;37,32
65153038 H;NK;37,32
65153021 V;NK;37,18
65153021 H;NK;37,18
62993830 V;NK;84,12
62993830 H;NK;84,12
62993727 V;NK;44,85
62993727 H;NK;44,85
62993130 V;NK;60,35
62993130 H;NK;60,35
62993095 V;NK;46,58
62993095 H;NK;46,58
62523066 V;NK;45,39
62523066 H;NK;45,39
62453003 V;NK;68,25
62453003 H;NK;68,25
62373106 V;NK;45,47
62373106 H;NK;45,47
62373068 V;NK;34,97
62373068 H;NK;34,97
62323746 V;NK;60,35
